"""load_test_call_0"" <>","","echo","ari-context","Local/echo@ari-context-00000000;1","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.0","",0
"""load_test_call_0"" <>","","echo","ari-context","Local/echo@ari-context-00000000;2","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.1","",1
"""load_test_call_1"" <>","","echo","ari-context","Local/echo@ari-context-00000001;1","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.2","",2
"""load_test_call_1"" <>","","echo","ari-context","Local/echo@ari-context-00000001;2","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.3","",3
"""load_test_call_2"" <>","","echo","ari-context","Local/echo@ari-context-00000002;1","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.4","",4
"""load_test_call_2"" <>","","echo","ari-context","Local/echo@ari-context-00000002;2","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.5","",5
"""load_test_call_3"" <>","","echo","ari-context","Local/echo@ari-context-00000003;1","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.6","",6
"""load_test_call_3"" <>","","echo","ari-context","Local/echo@ari-context-00000003;2","","Stasis","ari-app","2025-08-30 00:01:24","2025-08-30 00:01:24","2025-08-30 00:01:54","30","30","ANSWERED","DOCUMENTATION","","1756512084.7","",7
"""load_test_call_4"" <>","","echo","ari-context","Local/echo@ari-context-00000004;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.8","",8
"""load_test_call_4"" <>","","echo","ari-context","Local/echo@ari-context-00000004;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.9","",9
"""load_test_call_5"" <>","","echo","ari-context","Local/echo@ari-context-00000005;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.10","",10
"""load_test_call_5"" <>","","echo","ari-context","Local/echo@ari-context-00000005;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.11","",11
"""load_test_call_6"" <>","","echo","ari-context","Local/echo@ari-context-00000006;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.12","",12
"""load_test_call_6"" <>","","echo","ari-context","Local/echo@ari-context-00000006;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.13","",13
"""load_test_call_7"" <>","","echo","ari-context","Local/echo@ari-context-00000007;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.14","",14
"""load_test_call_7"" <>","","echo","ari-context","Local/echo@ari-context-00000007;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.15","",15
"""load_test_call_8"" <>","","echo","ari-context","Local/echo@ari-context-00000008;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.16","",16
"""load_test_call_8"" <>","","echo","ari-context","Local/echo@ari-context-00000008;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.17","",17
"""load_test_call_9"" <>","","echo","ari-context","Local/echo@ari-context-00000009;1","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.18","",18
"""load_test_call_9"" <>","","echo","ari-context","Local/echo@ari-context-00000009;2","","Stasis","ari-app","2025-08-30 00:01:25","2025-08-30 00:01:25","2025-08-30 00:01:55","30","30","ANSWERED","DOCUMENTATION","","1756512085.19","",19
"""load_test_call_18"" <>","","echo","ari-context","Local/echo@ari-context-00000012;1","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.53","",36
"""load_test_call_14"" <>","","echo","ari-context","Local/echo@ari-context-0000000e;1","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.37","",28
"""load_test_call_18"" <>","","echo","ari-context","Local/echo@ari-context-00000012;2","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.54","",37
"""load_test_call_14"" <>","","echo","ari-context","Local/echo@ari-context-0000000e;2","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.38","",29
"""load_test_call_17"" <>","","echo","ari-context","Local/echo@ari-context-00000011;1","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.49","",34
"""load_test_call_17"" <>","","echo","ari-context","Local/echo@ari-context-00000011;2","","Stasis","ari-app","2025-08-30 00:01:55","2025-08-30 00:01:55","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512115.50","",35
"""load_test_call_11"" <>","","echo","ari-context","Local/echo@ari-context-0000000b;1","","Stasis","ari-app","2025-08-30 00:01:54","2025-08-30 00:01:54","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512114.24","",22
"""load_test_call_10"" <>","","echo","ari-context","Local/echo@ari-context-0000000a;1","","Stasis","ari-app","2025-08-30 00:01:54","2025-08-30 00:01:54","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512114.21","",20
"""load_test_call_11"" <>","","echo","ari-context","Local/echo@ari-context-0000000b;2","","Stasis","ari-app","2025-08-30 00:01:54","2025-08-30 00:01:54","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512114.25","",23
"""load_test_call_12"" <>","","echo","ari-context","Local/echo@ari-context-0000000c;1","","Stasis","ari-app","2025-08-30 00:01:54","2025-08-30 00:01:54","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512114.29","",24
"""load_test_call_12"" <>","","echo","ari-context","Local/echo@ari-context-0000000c;2","","Stasis","ari-app","2025-08-30 00:01:54","2025-08-30 00:01:54","2025-08-30 00:02:24","29","29","ANSWERED","DOCUMENTATION","","1756512114.30","",25
